id,title,base_price,sold_quantity,rating_average,visits
MCO532537001,Hamacas De Ventana Para Gatos- Camas Personalizadas,79900,1282,4.9,146320
MCO483911144,4 Filtros Para Catit Fuentes Y Fuentes - kg a $6976,27905,250,5,2928
MCO652323820,Bandera Colombia Nacional 1mtr X1.5mt Exterior Grande,24990,200,4,2535
MCO575772910,Bandera De Colombia Satin 1.50 X 2.00 Ancho. Exteriores,47990,150,4.8,6232
MCO618868960,Catalogo Billetes Y Monedas Ultima Edicion Actualizado .,28490,250,4.9,8579
MCO867338943,Bandera Colombia Con Escudo 1mtr X1.5mt Exterior Grande,32990,25,0,701
MCO867338862,Bandera Colombia Con Escudo 1mtr X1.5mt Exterior Grande,32990,5,0,480
MCO826656756,10 Billetes De Colombia De 1 Peso Hasta 1000 Pesos Originale,44990,200,4.8,10918
MCO841016027,"Moneda 10000 Pesos Bicentenario  Colombia,conmemorativa ",32900,100,5,5454
MCO806410286,Bitcoin Dorada Moneda De Coleccion Alta Calidad Blockchain,12900,250,4.5,12303
MCO652324054,Bandera Colombia Nacional 1mtr X1.5mt Exterior Grande,24990,54,0,1211
MCO889675758,"25 Billetes Mundiales 100% Originales Varios Paises, Nuevos ",49990,5,0,909
MCO475893038,Álbum Catalogo Para Guardar 200 Monedas Antiguas Colombianas,49000,100,4.8,13174
MCO884056216,Moneda Dólar 1878 Antigua Colección ,70000,5,0,2027
MCO603217732,Poster 100 Cosas Que Hacer En Colombia,66000,25,0,6817
MCO625070718,Bandera Colombia Con Escudo 1mtr X1.5mt Exterior Grande,26490,5,0,1043
MCO618873105,Fajo 100 Billetes 2 Soberanos Venezuela Nuevos ,12350,25,0,2195
MCO638491242,Llaveros Mini Biblia  Sagrada Escrituras Español X 12,27799,100,4.5,3171
MCO831357680,Dolar Didactico 50 Unidades * 2 Paquetes (100 Unidades),17490,25,0,1465
MCO468163806,Raspar Mapa Mundi Scratch  Map 82*59 Cm Poster,53105,5,0,10656
